"Movie","ReleaseDate","ProductionBudget","DomesticGross","WorldwideGross"
"The Amazing Spider-Man 2","5/2/2014","$200,000,000","$202,853,933","$708,996,336"
"Cars 2","6/24/2011","$200,000,000","$191,450,875","$560,155,383"
"Tron: Legacy","12/17/2010","$200,000,000","$172,062,763","$400,062,763"
"2012","11/13/2009","$200,000,000","$166,112,167","$788,408,539"
"Terminator Salvation","5/21/2009","$200,000,000","$125,322,469","$365,491,792"
"Green Lantern","6/17/2011","$200,000,000","$116,601,172","$219,535,492"
"Prince of Persia: Sands of Time","5/28/2010","$200,000,000","$90,759,676","$314,594,597"
"Transformers: Dark of the Moon","6/29/2011","$195,000,000","$352,390,543","$1,123,790,543"
"The Mummy","6/9/2017","$195,000,000","$80,101,125","$410,333,326"
"Jack the Giant Slayer","3/1/2013","$195,000,000","$65,187,603","$197,687,603"
"Furious 7","4/3/2015","$190,000,000","$353,007,020","$1,518,722,794"
"Star Trek Into Darkness","5/16/2013","$190,000,000","$228,778,661","$467,381,584"
"World War Z","6/21/2013","$190,000,000","$202,359,711","$531,514,650"
"The Great Gatsby","5/10/2013","$190,000,000","$144,840,419","$351,040,419"
"Disney’s A Christmas Carol","11/6/2009","$190,000,000","$137,855,863","$315,709,697"
"Pacific Rim","7/12/2013","$190,000,000","$101,802,906","$411,002,906"
"The Good Dinosaur","11/25/2015","$187,500,000","$123,087,120","$334,342,692"
"Iron Man","5/2/2008","$186,000,000","$318,604,126","$585,171,547"
"The Dark Knight","7/18/2008","$185,000,000","$533,345,358","$1,001,620,618"
"Indiana Jones and the Kingdom of the Crystal Skull","5/22/2008","$185,000,000","$317,023,851","$786,558,145"
"Brave","6/22/2012","$185,000,000","$237,282,182","$554,606,532"
"Kong: Skull Island","3/10/2017","$185,000,000","$168,052,812","$561,137,727"
"Star Trek Beyond","7/22/2016","$185,000,000","$158,848,340","$336,398,312"
"Blade Runner 2049","10/6/2017","$185,000,000","$92,054,159","$258,978,008"
"Thor: Ragnarok","11/3/2017","$180,000,000","$314,143,225","$849,738,348"
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","12/9/2005","$180,000,000","$291,710,957","$720,539,572"
"Maleficent","5/30/2014","$180,000,000","$241,407,328","$758,536,735"
"Fantastic Beasts and Where to Find Them","11/18/2016","$180,000,000","$234,037,575","$803,798,342"
"WALL-E","6/27/2008","$180,000,000","$223,808,164","$532,508,025"
"Rush Hour 3","8/10/2007","$180,000,000","$140,125,968","$256,585,882"
"The Legend of Tarzan","7/1/2016","$180,000,000","$126,643,061","$349,143,061"
"Hugo","11/23/2011","$180,000,000","$73,864,507","$180,047,784"
"Valerian and the City of a Thousand Planets","7/21/2017","$180,000,000","$40,479,370","$215,116,144"
"Jupiter Ascending","2/6/2015","$179,000,000","$47,482,519","$181,982,519"
"X-Men: Apocalypse","5/27/2016","$178,000,000","$155,442,489","$542,742,489"
"Edge of Tomorrow","6/6/2014","$178,000,000","$100,206,256","$370,541,256"
"The Jungle Book","4/15/2016","$175,000,000","$364,001,123","$963,901,123"
"Inside Out","6/19/2015","$175,000,000","$356,461,711","$853,707,581"
"Spider-Man: Homecoming","7/7/2017","$175,000,000","$334,201,140","$880,206,511"
"Suicide Squad","8/5/2016","$175,000,000","$325,100,054","$746,100,054"
"Up","5/29/2009","$175,000,000","$293,004,164","$731,463,377"
"Coco","11/22/2017","$175,000,000","$205,429,341","$701,722,203"
"Monsters vs. Aliens","3/27/2009","$175,000,000","$198,351,526","$381,687,380"
"G.I. Joe: The Rise of Cobra","8/7/2009","$175,000,000","$150,201,498","$302,469,017"
"Wild Wild West","6/30/1999","$175,000,000","$113,805,681","$221,229,335"
"The Mummy: Tomb of the Dragon Emperor","8/1/2008","$175,000,000","$102,491,776","$405,760,225"
"Evan Almighty","6/22/2007","$175,000,000","$100,289,690","$174,131,329"
"Waterworld","7/28/1995","$175,000,000","$88,246,220","$264,246,220"
"King Arthur: Legend of the Sword","5/12/2017","$175,000,000","$39,175,066","$140,012,608"
"47 Ronin","12/25/2013","$175,000,000","$38,362,475","$151,716,815"
"Singularity","12/31/2020","$175,000,000","$0","$0"
