"Movie","ReleaseDate","ProductionBudget","DomesticGross","WorldwideGross"
"Charlie's Angels: Full Throttle","6/27/2003","$120,000,000","$100,814,328","$227,200,000"
"Elysium","8/9/2013","$120,000,000","$93,050,117","$286,192,091"
"Oblivion","4/19/2013","$120,000,000","$89,107,235","$287,916,633"
"Power Rangers","3/24/2017","$120,000,000","$85,364,450","$142,364,450"
"Stuart Little 2","7/19/2002","$120,000,000","$64,956,806","$166,000,000"
"RoboCop","2/12/2014","$120,000,000","$58,607,007","$242,981,799"
"The Chronicles of Riddick","6/11/2004","$120,000,000","$57,712,751","$107,212,751"
"Fantastic Four","8/7/2015","$120,000,000","$56,117,548","$167,977,596"
"Speed Racer","5/9/2008","$120,000,000","$43,945,766","$93,394,462"
"The Island","7/22/2005","$120,000,000","$35,818,913","$163,018,913"
"How Do You Know?","12/17/2010","$120,000,000","$30,212,620","$49,628,177"
"Knight and Day","6/23/2010","$117,000,000","$76,423,035","$258,751,370"
"Star Wars Ep. I: The Phantom Menace","5/19/1999","$115,000,000","$474,544,677","$1,027,044,677"
"Star Wars Ep. III: Revenge of the Sith","5/19/2005","$115,000,000","$380,270,577","$848,998,877"
"Star Wars Ep. II: Attack of the Clones","5/16/2002","$115,000,000","$310,676,740","$656,695,615"
"Monsters, Inc.","11/2/2001","$115,000,000","$289,423,425","$559,757,719"
"The Wolverine","7/26/2013","$115,000,000","$132,556,852","$416,456,852"
"Dante's Peak","2/7/1997","$115,000,000","$67,163,857","$178,200,000"
"The Huntsman: Winter’s War","4/22/2016","$115,000,000","$48,003,015","$165,149,302"
"Windtalkers","6/14/2002","$115,000,000","$40,914,068","$77,628,265"
"Astérix aux Jeux Olympiques","7/4/2008","$113,500,000","$999,811","$132,999,811"
"Gulliver's Travels","12/25/2010","$112,000,000","$42,779,261","$232,017,848"
"Ferdinand","12/15/2017","$111,000,000","$81,597,553","$268,559,241"
"Gravity","10/4/2013","$110,000,000","$274,092,705","$695,941,797"
"Night at the Museum","12/22/2006","$110,000,000","$250,863,268","$579,446,407"
"Mr. and Mrs. Smith","6/10/2005","$110,000,000","$186,336,279","$486,124,090"
"San Andreas","5/29/2015","$110,000,000","$155,190,832","$467,151,160"
"The Smurfs","7/29/2011","$110,000,000","$142,614,158","$563,749,323"
"Live Free or Die Hard","6/27/2007","$110,000,000","$134,529,403","$382,288,147"
"The Divergent Series: Insurgent","3/20/2015","$110,000,000","$130,179,072","$295,279,072"
"Ocean's Twelve","12/10/2004","$110,000,000","$125,531,634","$362,989,076"
"Tomorrow Never Dies","12/19/1997","$110,000,000","$125,304,276","$339,504,276"
"The Patriot","6/28/2000","$110,000,000","$113,330,342","$215,300,000"
"300: Rise of an Empire","3/7/2014","$110,000,000","$106,580,051","$330,780,051"
"The Aviator","12/17/2004","$110,000,000","$102,608,827","$208,370,892"
"Passengers","12/21/2016","$110,000,000","$100,014,699","$302,212,434"
"The Green Hornet","1/14/2011","$110,000,000","$98,780,042","$229,155,503"
